Original Publisher	Cleaned Publisher
AAAI Press	AAAI Press
AACR	American Association for Cancer Research
AACR Publications	American Association for Cancer Research
ACM	Association for Computing Machinery
ACS	American Chemical Society
ACS Publications	American Chemical Society
AGU	American Geophysical Union
AIP	American Institute of Physics
AIP Publishing	American Institute of Physics
AMERICAN CHEMICAL SOCIETY	American Chemical Society
AMERICAN COLLEGE OF CHEST PHYSICIANS	American College of Chest Physicians
AMERICAN GEOPHYSICAL UNION	American Geophysical Union
AMERICAN HEART ASSOCIATION	American Heart Association
AMERICAN PSYCHOLOGICAL ASSOCIATION	American Psychological Association
AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY	American Society for Biochemistry and Molecular Biology
AMERICAN SOCIETY FOR MICROBIOLOGY	American Society for Microbiology
AMERICAN SOCIETY OF MICROBIOLOGY	American Society of Microbiology
AMERICAN SOCIETY OF PLANT BIOLOGISTS	American Society of Plant Biologists
ANGEO / Copernicus	Copernicus
AOSIS open journals	AOSIS open journals
APA Journals	American Psychological Association
APS	American Physical Society
APS Journals	American Physical Society
ASBMB	American Society for Biochemistry and Molecular Biology
ASCE	American Society of Civil Engineers
ASLO	Association for the Sciences of Limnology & Oceanography
ASPB	American Society of Plant Biologists
Academic Press	Academic Press
Advanced Functional Materials	Advanced Functional Materials
Akademiai Kiado Rt.	Akademiai Kiado Rt.
American Association for Cancer Research	American Association for Cancer Research
American Association for the Advancement of Science	American Association for the Advancement of Science
American Association of Immunologists	American Association of Immunologists
American Association of Teachers of Spanish and Portuguese	American Association of Teachers of Spanish and Portuguese
American Chemical Society	American Chemical Society
American Chemical Society (ACS)	American Chemical Society
American College of Chest Physicians	American College of Chest Physicians
American Geophysical Union	American Geophysical Union
American Institute of Physics	American Institute of Physics
American Institute of Physics (AIP)	American Institute of Physics
American Mathematical Society	American Mathematical Society
American Meteorological Society	American Meteorological Society
American Physical Society	American Physical Society
American Physical Society (APS)	American Physical Society
American Physiological Society	American Physiological Society
American Psychological Association	American Psychological Association
American Psychological Association (APA)	American Psychological Association
American Scientific Publishers	American Scientific Publishers
American Society for Biochemistry	American Society for Biochemistry and Molecular Biology
American Society for Biochemistry and Molecular Biology	American Society for Biochemistry and Molecular Biology
American Society for Biochemistry and Molecular Biology (ASBMB)	American Society for Biochemistry and Molecular Biology
American Society for Biochemistry and Molecular Biology, Inc.	American Society for Biochemistry and Molecular Biology
American Society for Cell Biology	American Society for Cell Biology
American Society for Clinical Investigation	American Society for Clinical Investigation
American Society for Microbiology	American Society for Microbiology
American Society for Nutrition	American Society for Nutrition
American Society of Animal Science	American Society of Animal Science
American Society of Civil Engineers	American Society of Civil Engineers
American Society of Clinical Oncology	American Society of Clinical Oncology
American Society of Hematology	American Society of Hematology
American Society of Hematology / Dartmouth Journal Services	American Society of Hematology
American Society of Microbiology	American Society of Microbiology
American Society of Nutrition	American Society of Nutrition
American Society of Plant Biologists and Dartmouth Journal Services	American Society of Plant Biologists
Antiquity	Antiquity
Arctic Institute of North America	Arctic Institute of North America
Association for Computing Machinery	Association for Computing Machinery
Association for Computing Machinery (ACM)	Association for Computing Machinery
Association for Computing Machinery, Inc.	Association for Computing Machinery
Association for Psychological Siences	Association for Psychological Sciences
Association for Research in Vision and Ophthalmology	Association for Research in Vision and Ophthalmology
Association for Research in Vision and Ophthalmology (ARVO)	Association for Research in Vision and Ophthalmology
Association for the Sciences of Limnology & Oceanography	Association for the Sciences of Limnology & Oceanography
Association of Computing Machinery (ACM)	Association for Computing Machinery
Audio Engineering Society	Audio Engineering Society
B M J Group	BMJ Publishing
BIOMED CENTRAL	BioMed Central
BMC	BioMed Central
BMC/SpringerOpen	BioMed Central
BMJ	BMJ Publishing
BMJ GROUP	BMJ Publishing
BMJ Group	BMJ Publishing
BMJ Publishing	BMJ Publishing
BMJ Publishing Group	BMJ Publishing
BMJ Publishing Group Ltd	BMJ Publishing
Beijing Baishideng BioMed Scientific Co., Ltd	Beijing Baishideng BioMed Scientific Co., Ltd
BioMed	BioMed Central
BioMed Central	BioMed Central
BioMed Central Ltd.	BioMed Central
BioScientifica	Bioscientifica
BioScientifica Ltd.	BioScientifica
Biochemical Society	Biochemical Society
Biomed	BioMed Central
Biomed Central	BioMed Central
Biomed Central Ltd	BioMed Central
Bioscientifica	Bioscientifica
Brill	Brill
British  Institute of radiology	British  Institute of Radiology
British Ecological Society (Wiley)	Wiley
British Ecological society	British Ecological Society
British Institute of Radiology	British  Institute of Radiology
British Journal of Psychiatry	British Journal of Psychiatry
C S I R O Publishing	CSIRO Publishing
CAMBRIDGE JOURNALS	Cambridge University Press
CELL PRESS	Cell Press
COMPANY OF BIOLOGISTS	Company of Biologists
COPERNICUS	Copernicus
CSH Press	Cold Spring Harbor Laboratory Press
Cambridge University Press	Cambridge University Press
Cell Press	Cell Press
Cell Press/Elsevier	Cell Press
Centers for Disease Control and Prevention	Centers for Disease Control and Prevention
Cenveo	Cenveo
Chemistry Central	Chemistry Central
Co-Action Publishing	Co-Action Publishing
Cold Spring Harbor Lab Press	Cold Spring Harbor Laboratory Press
Cold Spring Harbor Laboratory Press	Cold Spring Harbor Laboratory Press
Company of Biologists	Company of Biologists
Company of Biologists Ltd	Company of Biologists
Copernicus	Copernicus
Copernicus Gesellschaft	Copernicus
Copernicus GmbH	Copernicus
Copernicus Publications	Copernicus
Copernicus/ European Geophysical Union	Copernicus
Copernicus/European Geosciences Union	Copernicus
Dartmouth Journal Services (Cell Press)	Cell Press
De Gruyter	De Gruyter
Dove Medical Press	Dove Press
Dove Press	Dove Press
EDP Sciences	EDP Sciences
ELSEVIER	Elsevier
EMBO Press	EMBO Press
EMERALD	Emerald
EMW Publishing	EMW Publishing
Ecological Society of America	Ecological Society of America
Edinburgh University Global Health Society	Edinburgh University Global Health Society
Edinburgh University Press	Edinburgh University Press
Education and Upbringing Publishing	Education and Upbringing Publishing
Electrochemical Science Group	Electrochemical Science Group
Electronic Journal of Combinatorics	N.J. Calkin and H.S. Wilf
Elsevier	Elsevier
Elsevier / The Society for Neuroscience	Elsevier
Elsevier Ireland Ltd	Elsevier
Elsevier Masson	Elsevier
Elsevier/IWA Publishing	Elsevier
Emerald	Emerald
Emerald Group Publishing	Emerald
Emerald Group Publishing Ltd.	Emerald
Endocrine Society	Endocrine Society
European Geosciences Union	European Geosciences Union
European Respiratory Society	European Respiratory Society
FRONTIERS	Frontiers
FUTURE SCIENCE	Future Science Group
Fabrizio Serra	Fabrizio Serra
Federation for American Societies of Experimental Biology	Federation of American Societies for Experimental Biology
Federation of American Societies for Experimental Biology	Federation of American Societies for Experimental Biology
Federation of American Societies for Experimental Biology (FASEB)	Federation of American Societies for Experimental Biology
Feinstein Institute for Medical Research (New York)	Feinstein Institute for Medical Research (New York)
Frontiers	Frontiers
Frontiers Media	Frontiers
Frontiers Media SA	Frontiers
Frontiers Open Access (www.frontiersin.org)	Frontiers
Frontiers Research Foundation	Frontiers
Future Medicine	Future Science Group
Future Science	Future Science Group
Genetics Society of America	Genetics Society of America
Geochimica et Cosmochimica Acta	Elsevier
Geological Society of America	Geological Society of America
Geological Society of London	Geological Society of London
Hindawi	Hindawi
Hindawi Publishing Corporation	Hindawi
Historic Society of Lancashire and Cheshire	Historic Society of Lancashire and Cheshire
Hogrefe	Hogrefe
Human Kinetics	Human Kinetics
Humana Press	Humana Press
ICE Publishing	ICE Publishing
ICE publishing	ICE Publishing
ICE/Thomas Telford	ICE Publishing
IEEE	IEEE
IET	IET
IET Digital Library	IET
INFORMS Open	INFORMS
INSTITUTE OF PHYSICS	Institute of Physics
IOP	Institute of Physics
IOP Publishing	Institute of Physics
IOP Science	Institute of Physics
IOPScience	Institute of Physics
IOS PRESS	IOS Press
IOS Press	IOS Press
IWA Publishing	IWA Publishing
Igitur Publishing	Igitur Publishing
Imperial College Press	Imperial College Press
InTech	InTech
Inderscience	Inderscience Publishers
Inderscience Publishers	Inderscience Publishers
Informa Healthcare	Informa Healthcare
Informs	INFORMS
Institute of Civil Engineers	Institute of Civil Engineers
Institute of Electrical and Electronics Engineers	Institute of Electrical and Electronics Engineers
Institute of Physics	Institute of Physics
Institute of Physics (IOP)	Institute of Physics
Institute of Physics Publishing	Institute of Physics
Institute of Physics Publishing Ltd.	Institute of Physics
Institute of Physics: Open Access Journals	Institute of Physics
Institution of Engineering and Technology	Institution of Engineering and Technology
Institution of Engineering and Technology (IET)	Institution of Engineering and Technology
Int. Glaciological Society	International Glaciological Society
International Federation of Integrated Care	International Federation of Integrated Care
International Glaciological Society	International Glaciological Society
International Society for Labor Law and Social Security	International Society for Labor Law and Social Security
International Union of Crystallography	International Union of Crystallography
IoP	Institute of Physics
Ivyspring	Ivyspring
JMIR Publications Inc	JMIR Publications
JOVE	MYJoVE
JoVE	MYJoVE
JoVE Corporation	MYJoVE
John Benjamins	John Benjamins
John Wiley & Sons	Wiley
Journal of Medical Internet Research	Symposion Publishing
Journal of Visualized Experiments	MYJoVE
Journal of Visualized Experiments (JoVE)	MYJoVE
Karger	Karger
Korean Society for Neurobiology	Korean Society for Neurobiology
LANDES BIOSCIENCE	Landes Bioscience
LWW	Lippincott, Williams & Wilkins
Landes Bioscience	Landes Bioscience
Libertas Academica	Libertas Academica
Life Science Global	Life Science Global
Lippincott Williams and Wilkins	Lippincott, Williams & Wilkins
Lippincott, Williams & Wilkins	Lippincott, Williams & Wilkins
Liverpool University Press	Liverpool University Press
London Mathematical Society	London Mathematical Society
M D P I	MDPI
M D P I AG	MDPI
MA Healthcare	MA Healthcare
MDPI	MDPI
MDPI AG	MDPI
MDPI Publishing	MDPI
MIT Press	MIT Press
Macmillan Science Communication	Nature Publishing Group
Manchester University Press	Manchester University Press
Maney	Maney
Maney Publishing	Maney
Mary Ann Liebert	Mary Ann Liebert
Mary Ann Liebert, Inc.	Mary Ann Liebert
Mary Ann Liebert, Inc. Publishers	Mary Ann Liebert
Mary AnnLiebert, Inc. Publishers	Mary Ann Liebert
Massachusetts Institute of Technology	MIT Press
Mineralogical Society	Mineralogical Society
Mineralogical Society of America	Mineralogical Society of America
Molecular Diversity Preservation International	MDPI
Molecular Vision	Molecular Vision
Mosby, Inc.	Mosby, Inc.
My Jove Corporation	MYJoVE
NATIONAL ACADEMY OF SCIENCES	National Academy of Sciences
NATURE PUBLISHING GROUP	Nature Publishing Group
NPG	Nature Publishing Group
NRC Research Press	NRC Research Press
National Academy of Sciences	National Academy of Sciences
National Academy of Sciences of the United States of America	National Academy of Sciences
National Center for Nanoscience and Technology	National Center for Nanoscience and Technology
Nature	Nature Publishing Group
Nature Group	Nature Publishing Group
Nature Publications	Nature Publishing Group
Nature Publishing	Nature Publishing Group
Nature Publishing Group	Nature Publishing Group
Nevin Scrimshaw International Nutrition Foundation	Nevin Scrimshaw International Nutrition Foundation
OMICS	OMICS Publishing Group
OMICS Publishing Group	OMICS Publishing Group
OSA	Optical Society of America
OUP	Oxford University Press
OUP/London Mathematical Society	Oxford University Press
OXFORD UNIVERSITY PRESS	Oxford University Press
Omics Publishing Group	OMICS Publishing Group
Optical Society of America	Optical Society of America
Oxford Journals	Oxford University Press
Oxford Open	Oxford University Press
Oxford Univ Press	Oxford University Press
Oxford University Press	Oxford University Press
PIER	EMW Publishing
PLOS	Public Library of Science
PLOS One	Public Library of Science
PLoS	Public Library of Science
PNAS	National Academy of Sciences
PORTLAND PRESS	Portland Press
PUBLIC LIBRARY OF SCIENCE	Public Library of Science
Palgrave Macmillan	Palgrave Macmillan
PeerJ	PeerJ
Pergamon	Elsevier
Pion	Pion
Plos	Public Library of Science
Policy Press	Policy Press
Policy Press (University of Bristol)	Policy Press
Portland Press	Portland Press
Portland Press (UK)	Portland Press
Portland Press Ltd.	Portland Press
Portland Press/Biochemical Society	Portland Press
PubMed Central	Nature Publishing Group
Public Library Of Science (PLOS)	Public Library of Science
Public Library of Science	Public Library of Science
Public Library of science	Public Library of Science
R S C Publications	Royal Society of Chemistry
RNA Society	RNA Society
ROYAL SOCIETY	Royal Society
ROYAL SOCIETY OF CHEMISTRY	Royal Society of Chemistry
RSC	Royal Society of Chemistry
RSC (Royal Society of Chemistry)	Royal Society of Chemistry
RSC Publications	Royal Society of Chemistry
Radiological Society of North America, Inc.	Radiological Society of North America, Inc.
Research Media	Research Media
Research Media LTD	Research Media
Research Media Ltd	Research Media
Resilience Alliance	Resilience Alliance
Rockefeller University Press	Rockefeller University Press
Rockefeller University Press	Rockerfeller University Press
Routledge	Taylor & Francis
Routledge (Taylor and Francis)	Taylor & Francis
Royal College of General Practitioners	Royal College of General Practitioners
Royal College of Physicians	Royal College of Physicians
Royal College of Psychiatrists	Royal College of Psychiatrists
Royal Society	Royal Society
Royal Society Of Chemistry	Royal Society of Chemistry
Royal Society Publishing	Royal Society
Royal Society of Chemistry	Royal Society of Chemistry
Royal Society of Chemistry (RSC)	Royal Society of Chemistry
SAGE	Sage
SAGE Publications	Sage
SIAM	Society for Industrial and Applied Mathematics
SOCIETY FOR GENERAL MICROBIOLOGY	Society for General Microbiology
SOCIETY FOR NEUROSCIENCE	Society for Neuroscience
SPIE	SPIE
SPRINGER	Springer
Sage	Sage
Sage/Sociological Research Online	University of Surrey
Science and Engineering Publishing Company	Science and Engineering Publishing Company
Scientific Research Publishing	Scientific Research Publishing
Servicio Nacional de Geologia y Mineria	Servicio Nacional de Geologia y Mineria
Sheridan Press	Sheridan Press
Society for General Microbiology	Society for General Microbiology
Society for Industrial and Applied Mathematics	Society for Industrial and Applied Mathematics
Society for Neuroscience	Society for Neuroscience
Space Syntax	Springer
Springer	Springer
Springer Open Choice	Springer
Springer OpenChoice	Springer
SpringerOpen	Springer
Statens Arbeidsmiljoeinstitutt	Statens Arbeidsmiljoeinstitutt
Swiss Society for Biomaterials	Swiss Society for Biomaterials
Synergy	Synergy
T&F	Taylor & Francis
T&F Landes Bioscience	Taylor & Francis
TAYLOR & FRANCIS	Taylor & Francis
Taylor & Francis	Taylor & Francis
Taylor & Francis (inc Routledge)	Taylor & Francis
Taylor & Francis Inc.	Taylor & Francis
Taylor and Francis	Taylor & Francis
The Company of Biologists	Company of Biologists
The Company of Biologists Ltd	Company of Biologists
The Company of Biologists Ltd.	Company of Biologists
The Endocrine Society	Endocrine Society
The Institution of Engineering and Technology	Institution of Engineering and Technology
The London Mathematical Society	London Mathematical Society
The Optical Society (OSA)	Optical Society of America
The Resilience Alliance	The Resilience Alliance
The Royal Society	Royal Society
The Royal Society Publishing	Royal Society
The Science and Information Organization Inc.	The Science and Information Organization Inc.
TheCompany of Biologists Ltd.	Company of Biologists
TheRoyal Society Publishing	Royal Society
Ubiquity	Ubiquity
University of Arizona	University of Arizona
University of Chicago Press	University of Chicago Press
University of York	University of York
WILEY-BLACKWELL	Wiley
Wiley	Wiley
Wiley Online Open	Wiley
Wiley and Society for Applied Microbiology	Wiley
Wiley-BLackwell	Wiley
Wiley-Blackwell	Wiley
Wiley-Blackwell/International Union of Crystallography	Wiley
Wiley/American Geophyscial Union	Wiley
Wiley/Pathological Society of Great Britain and Ireland	Wiley
Wiley/Royal Meteorological Society	Wiley
Wiley/The Obesity Society	Wiley
Wiley/UICC	Wiley
Wiley/Zoological Society of London	Wiley
Wolters Kluwer	Lippincott, Williams & Wilkins
Wolters Kluwer / Lippincott, Williams and Wilkins	Lippincott, Williams & Wilkins
Wolters Kluwer/Lippincott Williams & Wilkins	Lippincott, Williams & Wilkins
World Scientific	World Scientific Publishing
World Scientific Publishing	World Scientific Publishing
coAction Publishing	Co-Action Publishing
|EEE	IEEE
